X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-39.93728,-9.115279999704434,1477,MRRCRC800,BA,INGÁ,Curaçá,1,3,0.197,0.15,0.25,0.05,-9.11528,-39.93728
-40.55314,-9.461579999693646,1478,MRRRSF700,BA,INGÁ,Rio São Francisco,1,3,0.03,0.02,0.04,0.01,-9.46158,-40.55314
-40.47439,-9.421419999694885,1479,MRRRSF730,BA,INGÁ,Rio São Francisco,1,3,0.03,0.02,0.04,0.01,-9.42142,-40.47439
-40.31633,-9.292859999698914,1480,MRRRSF750,BA,INGÁ,Rio São Francisco,1,3,0.023,0.02,0.03,0.006,-9.29286,-40.31633
-40.09978,-9.093529999705119,1481,MRRRSF780,BA,INGÁ,Rio São Francisco,1,3,0.023,0.02,0.03,0.006,-9.09353,-40.09978
-39.9095,-8.989139999708419,1482,MRRRSF850,BA,INGÁ,Rio São Francisco,1,3,0.053,0.02,0.1,0.042,-8.98914,-39.9095
-39.24806,-8.626109999719793,1483,MRRRSF870,BA,INGÁ,Rio São Francisco,1,3,0.023,0.02,0.03,0.006,-8.62611,-39.24806
-39.11356,-8.719219999716886,1484,MRRRSF900,BA,INGÁ,Rio São Francisco,1,3,0.063,0.02,0.15,0.075,-8.71922,-39.11356
-38.30689,-9.153499999703261,1485,MRRRSF950,BA,INGÁ,Rio São Francisco,1,3,0.047,0.02,0.1,0.046,-9.1535,-38.30689
-38.23569,-9.401109999695528,1486,MRRRSF980,BA,INGÁ,Rio São Francisco,1,3,0.04,0.02,0.08,0.035,-9.40111,-38.23569
-38.19883,-9.419529999694943,1487,MRRRSF990,BA,INGÁ,Rio São Francisco,1,3,0.023,0.02,0.03,0.006,-9.41953,-38.19883
-39.93646,-6.966459999772495,1488,MRT01,CE,COGERH,Informação não disponível,2,4,0.108,0.053,0.211,0.071,-6.96646,-39.93646
-41.31222,-17.494439999458393,1489,MU001,MG,IGAM,Rio Mucuri,1,4,0.03,0.02,0.06,0.02,-17.49444,-41.31222
-41.57953,-17.37721999946158,1490,MU002,MG,IGAM,Rio Preto,1,4,0.023,0.02,0.03,0.005,-17.37722,-41.57953
-41.23833,-17.401669999460928,1491,MU003,MG,IGAM,Ribeirão Marambaia,1,4,0.02,0.02,0.02,0,-17.40167,-41.23833
-41.23772,-17.491939999458459,1492,MU005,MG,IGAM,Rio Mucuri,1,4,0.028,0.02,0.05,0.015,-17.49194,-41.23772
-41.68772,-17.841419999449091,1493,MU006,MG,IGAM,Rio Todos os Santos,1,4,0.042,0.02,0.11,0.045,-17.84142,-41.68772
-41.30622,-17.882689999447994,1494,MU007,MG,IGAM,Rio Todos os Santos,1,4,0.248,0.12,0.4,0.121,-17.88269,-41.30622
-41.01114,-17.914889999447116,1495,MU008,MG,IGAM,Rio Urucu,1,4,0.058,0.02,0.17,0.075,-17.91489,-41.01114
-40.72175,-17.704329999452764,1496,MU009,MG,IGAM,Rio Mucuri,1,4,0.028,0.02,0.05,0.015,-17.70433,-40.72175
-40.60917,-17.706109999452718,1497,MU011,MG,IGAM,Rio Pampã,1,4,0.028,0.02,0.04,0.01,-17.70611,-40.60917
-40.34056,-17.838139999449158,1498,MU013,MG,IGAM,Rio Mucuri,1,4,0.038,0.02,0.07,0.022,-17.83814,-40.34056
-41.49208,-17.59505999945566,1499,MU014,MG,IGAM,Rio Mucuri,1,4,0.103,0.02,0.33,0.152,-17.59506,-41.49208
-36.6603,-7.134699999767148,1500,MU45,PB,SUDEMA,Açude Mucutu (Juazeirinho),2,2,0.115,0.06,0.17,0.078,-7.1347,-36.6603
-38.98377,-6.396499999790799,1501,MUN08,CE,COGERH,Informação não disponível,2,3,0.056,0.039,0.087,0.027,-6.3965,-38.98377
-40.8716,-3.188979999895058,1502,MUQ01,CE,COGERH,Açude Muquém,2,2,0.026,0.016,0.037,0.015,-3.18898,-40.8716
-46.79333,-24.187779999294111,1503,NAEM02900,SP,CETESB,Rio Itanhaém,1,6,0.07,0.04,0.09,0.018,-24.18778,-46.79333
-46.58,-23.519199999308945,1504,NINO04900,SP,CETESB,Ribeirão dos Meninos,1,6,2.467,0.97,3.79,1.079,-23.5192,-46.58
-40.3594,-6.983239999772,1505,NOF01,CE,COGERH,Informação não disponível,2,4,0.044,0.032,0.066,0.015,-6.98324,-40.3594
-48.00667,-22.998329999320752,1506,NOVO02450,SP,CETESB,Rio Novo,1,6,0.027,0.01,0.05,0.014,-22.99833,-48.00667
-45.35639,-23.777779999303174,1507,NSRA02900,SP,CETESB,Rio Nossa Senhora da Ajuda,1,6,0.128,0.064,0.22,0.07,-23.77778,-45.35639
-47.1,-22.765559999326083,1508,NUMA04900,SP,CETESB,Ribeirão Anhumas,1,6,1.65,0.9,2,0.543,-22.76556,-47.1
-38.86891,-3.740489999877012,1509,OLH01,CE,COGERH,Informação não disponível,2,3,0.048,0.023,0.096,0.042,-3.74049,-38.86891
-48.7919,-21.078099999366167,1510,ONCA02500,SP,CETESB,Ribeirão da Onça,1,6,0.06,0.041,0.088,0.019,-21.0781,-48.7919
-47.3039,-22.027199999343338,1511,OQUE02900,SP,CETESB,Ribeirão do Roque,1,6,0.025,0.02,0.03,0.005,-22.0272,-47.3039
-47.04361,-22.283609999337308,1512,ORIZ02900,SP,CETESB,Rio Oriçanga,1,6,0.7,0.3,2,0.663,-22.28361,-47.04361
-38.93136,-6.219879999796473,1513,ORO01,CE,COGERH,Informação não disponível,2,4,0.118,0.101,0.136,0.015,-6.21988,-38.93136
-39.40349,-5.581349999817083,1514,ORO03,CE,COGERH,Informação não disponível,2,4,0.114,0.079,0.138,0.025,-5.58135,-39.40349
